Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;26.08.2022 10:11:51;684093,РОССИЯ,41,Камчатский край,Вилючинский ЗАТО г.о., ,Вилючинск г, ,Нахимова ул,,д. 22, , , ,;0006643207019527;РИТЕЙЛ-01ФМ;09.12.2023 12:00:00;ККТ зарегистрирована;0406630012155991;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075349;272301001;0;2;2;2;2;2;2;2;2;2;684093 Камчатский край, г Вилючинск, ул Нахимова, д 22;1
9965;26.08.2022 10:02:18;684090,РОССИЯ,41,Камчатский край,Вилючинский ЗАТО г.о., ,Вилючинск г, ,Мира ул,,д. 11, , , ,;0006643195005805;РИТЕЙЛ-01ФМ;09.12.2023 12:00:00;ККТ зарегистрирована;0311370012144144;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075221;272301001;0;2;2;2;2;2;2;2;2;2;684090 Камчатский край, г Вилючинск, ул Мира, д 11;1
9965;25.08.2022 07:19:37;684036,РОССИЯ,41,Камчатский край,Елизовский м.р-н.,Вулканное г.п.,Вулканный рп, ,Центральная ул,,зд. 26, , , ,;0006643194047457;РИТЕЙЛ-01ФМ;08.12.2023 12:00:00;ККТ зарегистрирована;0420210012144142;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075260;272301001;0;2;2;2;2;2;2;2;2;2;684036 Камчатский край, Елизовский р-н, рп Вулканный, ул Центральная, зд 26;1
9965;23.08.2022 07:10:53;684005,РОССИЯ,41,Камчатский край,Елизовский м.р-н.,Елизовское г.п.,Елизово г, ,Магистральная ул,,д. 64, , , ,;0006641898019485;РИТЕЙЛ-01ФМ;06.12.2023 12:00:00;ККТ зарегистрирована;0059820012144141;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075189;272301001;0;2;2;2;2;2;2;2;2;2;684005 Камчатский край, Елизовский р-н, г Елизово, ул Магистральная, д 64;1
9965;15.08.2022 12:33:02;115280,РОССИЯ,77,Г.Москва,муниципальный округ Даниловский вн.тер.г., , , ,Ленинская Слобода ул,,д. 19, , , ,;0006627070026991;Эфир Pro ФС;28.11.2023 12:00:00;ККТ зарегистрирована;9986847956;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9960440302222192;272301001;0;2;2;2;2;1;2;2;2;2;https://stoletov.ru/;1
9965;02.08.2022 05:38:45;683006,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский г.о., ,Петропавловск-Камчатский г, ,Победы пр-кт,,д. 29, , , ,;0006595517018533;РИТЕЙЛ-01ФМ;14.11.2023 12:00:00;ККТ зарегистрирована;0484490012146730;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075096;272301001;0;2;2;2;2;2;2;2;2;2;683006 Камчатский край, г Петропавловск-Камчатский, пр-кт Победы, д 29 аптека;1
9965;11.07.2022 10:32:20;683003,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский г.о., ,Петропавловск-Камчатский г, ,Ленинградская ул,,д. 114, , , ,;0006548620005220;РИТЕЙЛ-01ФМ;24.10.2023 12:00:00;ККТ перерегистрирована;0543120012155989;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075423;272301001;0;2;2;2;2;2;2;2;2;2;683003 Камчатский край, г Петропавловск-Камчатский, ул Ленинградская, д 114 аптека;1
9965;09.06.2022 06:59:02;683002,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский г.о., ,Петропавловск-Камчатский г, ,Виталия Кручины ул,,д. 2а, , , ,;0006467056049932;РИТЕЙЛ-01ФМ;22.09.2023 12:00:00;ККТ зарегистрирована;0004600012155085;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075343;272301001;0;2;2;2;2;2;2;2;2;2;683002  Петропавловск-Камчатский, ул Виталия Кручины, д 2а аптека;1
9965;21.04.2022 06:23:05;630099,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Военная ул,,д. 5, , , ,;0006356764063649;РИТЕЙЛ-01ФМ;04.08.2023 12:00:00;ККТ зарегистрирована;0062450012131187;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440301640430;272301001;0;2;2;2;2;2;2;2;2;2;630099, г Новосибирск, ул Военная, д 5, аптека;1
9965;19.04.2022 09:58:10;630099,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Военная ул,,д. 5, , , ,;0006350200016145;РИТЕЙЛ-01ФМ;02.08.2023 12:00:00;ККТ зарегистрирована;0584840012155086;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440301640594;272301001;0;2;2;2;2;2;2;2;2;2;630099, г Новосибирск, ул Военная, д 5;1
