Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;31.01.2022 01:48:17;630126,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Вилюйская ул,,д. 17, , , ,;0006153444016740;РИТЕЙЛ-01Ф;16.05.2023 12:00:00;ККТ зарегистрирована;0462260012146771;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685269;540201001;0;2;2;2;2;2;2;2;2;2;630126, г Новосибирск, ул Вилюйская, д 17, аптека;2
9965;16.12.2021 12:37:50;650070,РОССИЯ,42,Кемеровская область - Кузбасс,Кемеровский г.о., ,Кемерово г, ,Свободы ул,,д. 31, , , ,;0006058412048615;РР-03Ф;31.03.2023 12:00:00;ККТ зарегистрирована;0651490014002194;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684968;540201001;0;2;2;2;2;2;2;2;2;2;650070 Кемеровская область - Кузбасс, г Кемерово, ул Свободы, д 31;2
9965;13.12.2021 12:05:15;650061,РОССИЯ,42,Кемеровская область - Кузбасс,Кемеровский г.о., ,Кемерово г, ,Шахтеров пр-кт,,д. 74б, , , ,;0006047612039016;РР-03Ф;28.03.2023 12:00:00;ККТ зарегистрирована;0171830014002219;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684639;540201001;0;2;2;2;2;2;2;2;2;2;650061 Кемеровская область - Кузбасс, г Кемерово, пр-кт Шахтеров, д 74б;2
9965;19.10.2021 10:37:20;644065,РОССИЯ,55,Омская область,город Омск г.о., ,Омск г, ,Энтузиастов ул,,д. 2, , , ,;0005914547012791;РР-03Ф;01.02.2023 12:00:00;ККТ зарегистрирована;0408840014002215;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684555;540201001;0;2;2;2;2;2;1;2;2;2;Омская обл, г Омск, ул Энтузиастов, д 2/1 аптека;2
9965;06.10.2021 09:02:04;630110,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Богдана Хмельницкого ул,,д. 54, , , ,;0005872315046288;РР-03Ф;17.01.2023 12:00:00;ККТ зарегистрирована;0524780014003273;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684896;540201001;0;2;2;2;2;2;2;2;2;2;630110, Новосибирская обл, г Новосибирск, ул Богдана Хмельницкого, д 54, аптека;2
9965;02.08.2021 07:33:11;630126,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Вилюйская ул,,д. 17, , , ,;0005722518056723;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0282640012146650;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684563;540201001;0;2;2;2;2;2;2;2;2;2;630126, г Новосибирск, ул Вилюйская, д 17, аптека;2
9965;02.08.2021 05:50:39;630087,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Карла Маркса пр-кт,,д. 22, , , ,;0005722334032565;РИТЕЙЛ-01Ф;15.11.2022 12:00:00;ККТ перерегистрирована;0191500012144133;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684567;540201001;0;2;2;2;2;2;2;2;2;2;630087, Новосибирск, пр-кт Карла Маркса, д 22, аптека;2
9965;03.06.2021 11:31:41;109316,РОССИЯ,77,Г.Москва,муниципальный округ Печатники вн.тер.г., , , ,Волгоградский пр-кт,,д. 42,к. 9, , ,;0005504832049041;АТОЛ 42ФС;16.09.2022 12:00:00;ККТ зарегистрирована;00107701317416;Общество с ограниченной ответственностью «Эвотор ОФД»;9289440300749251;540201001;0;2;2;2;1;1;2;2;2;2;https://superapteka.ru;2
9965;15.01.2021 05:14:54;630022,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,3-й Бронный пер,,зд. 44, , , ,;0005061579020739;РИТЕЙЛ-01Ф;30.04.2022 12:00:00;ККТ зарегистрирована;0224280012146651;Общество с ограниченной ответственностью «Эвотор ОФД»;9289000100268209;540245093;0;2;2;2;2;2;2;2;2;2;630022,Новосибирск г,3-й Бронный пер,44, аптека;2
9965;02.11.2020 01:50:48;630088,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Петухова ул,,зд. 38а, , , ,;0004854148021243;РИТЕЙЛ-01Ф;13.05.2023 12:00:00;ККТ перерегистрирована;0385710012155239;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300686301;540201001;0;2;2;2;2;2;2;2;2;2;630088, г Новосибирск, ул Петухова, д 38А, аптека;2
