Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;01.06.2022 05:48:38;625006,РОССИЯ,72,Тюменская область,город Тюмень г.о., ,Тюмень г, ,Профсоюзная ул,,д. 1, , , ,;0006446552009287;РИТЕЙЛ-01ФМ;14.09.2023 12:00:00;ККТ зарегистрирована;0201660012131133;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685593;720301001;0;2;2;2;2;2;2;2;2;2;625006 Тюменская обл, г Тюмень, ул Профсоюзная, д 1 аптека;2
9965;;660068,РОССИЯ,24,Красноярский край,город Красноярск г.о., ,Красноярск г, ,Сибирский пер,,зд. 5а, , , ,;0006231615022146;РИТЕЙЛ-01ФМ;;Отказ по заявлению;0624470012131139;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300855094;720301001;0;2;2;2;2;2;2;2;2;2;660068, г.Красноярск пер.Сибирский 5а аптека;1
9965;08.10.2021 12:09:23;620091,РОССИЯ,66,Свердловская область,город Екатеринбург г.о., ,Екатеринбург г, ,Бабушкина ул,,стр. 2,стр. А, , ,;0005891409007507;РР-03Ф;21.01.2023 12:00:00;ККТ зарегистрирована;0646180014002062;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685562;720301001;0;2;2;2;2;2;2;2;2;2;620091 г Екатеринбург, ул Бабушкина 2А  аптека;2
9965;19.12.2019 02:00:16;625006,РОССИЯ,72,Тюменская область,город Тюмень м.р-н., ,Тюмень г, ,Профсоюзная ул,,д. 1, , , ,;0004237055044110;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0201660012131133;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300697308;720301001;0;2;2;2;2;2;2;2;2;2;625006,Тюменская область,г. Тюмень, Профсоюзная д. 1  аптека;2
9965;17.12.2019 02:13:52;620138,РОССИЯ,66,Свердловская область, ,Екатеринбург г , , ,Дублер Сибирского тракта тракт элем. улично-дорожн.сети,,д. 19/1 стр, , , ,;0004230948060372;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0584840012155086;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100249137;720301001;0;2;2;2;2;2;2;2;2;2;Екатеринбург г, Дублер Сибирского тракта тракт, 19/1 стр аптека;2
9965;17.12.2019 02:20:50;454052,РОССИЯ,74,Челябинская область, ,Челябинск г , , ,Черкасская ул элем. улично-дорожн.сети,,д. 23, , , ,;0004230774034102;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0462260012146771;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100249250;720301001;0;2;2;2;2;2;2;2;2;2;г Челябинск, ул Черкасская, д 23 аптека;2
9965;13.12.2019 02:25:14;625016,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Пермякова ул элем. улично-дорожн.сети,,д. 62, , , ,;0004211551054313;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0447320012131134;Общество с ограниченной ответственностью «Эвотор ОФД»;9288000100024706;720301001;0;2;2;2;2;2;2;2;2;2;Тюменская обл, г Тюмень, ул Пермякова, д 62  аптека;2
9965;24.06.2019 10:18:29;625006,РОССИЯ,72,Тюменская область,город Тюмень м.р-н., ,Тюмень г, ,Профсоюзная ул,,д. 1, , , ,;0003468094005323;РИТЕЙЛ-01Ф;28.03.2023 12:00:00;ККТ перерегистрирована;0294320012131136;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685512;720301001;0;2;2;2;2;2;2;2;2;2;625006 Тюменская обл, г Тюмень, ул Профсоюзная, д 1 аптека;2
9965;18.06.2019 06:15:28;454028,РОССИЯ,74,Челябинская область,Челябинский г.о.,Советский ,Челябинск г, ,Блюхера ул,,д. 126, , , ,;0002699040016792;РР-03Ф;;ККТ снята с регистрации;0023050014001860;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300836734;720301001;0;2;2;2;2;2;2;2;2;2;454028 Челябинск, ул Блюхера, д 126 аптека;2
9965;18.09.2018 03:13:25;454106,РОССИЯ,74,Челябинская область, ,Челябинск г , , ,Братьев Кашириных ул элем. улично-дорожн.сети,,д. 80, , , ,;0002698361040618;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0103740007000514;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011806;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;18.09.2018 01:13:33;454007,РОССИЯ,74,Челябинская область,Челябинский м.р-н.,Тракторозаводский ,Челябинск г, ,Артиллерийская ул,,д. 136, , , ,;0002697770061307;РР-03Ф;;ККТ снята с регистрации;0013610014001851;Общество с ограниченной ответственностью «Эвотор ОФД»;9288000100011945;720301001;0;2;2;2;2;2;2;2;2;2;454007 Челябинск, ул Артиллерийская, д 136 аптека;2
9965;17.09.2018 04:58:20;454052,РОССИЯ,74,Челябинская область, ,Челябинск г , , ,Черкасская ул элем. улично-дорожн.сети,,д. 23, , , ,;0002696146059476;ШТРИХ-М-02Ф;;ККТ снята с регистрации;0097560008000609;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011949;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;18.09.2018 03:15:19;454016,РОССИЯ,74,Челябинская область,Челябинский м.р-н.,Калининский ,Челябинск г, ,Братьев Кашириных ул,,д. 75, , , ,;0002695982003225;РР-03Ф;;ККТ снята с регистрации;0023980014002161;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300838287;720301001;0;2;2;2;2;2;2;2;2;2;454016 Челябинск, ул Братьев Кашириных, д 75 аптека;2
9965;17.09.2018 04:31:21;454010,РОССИЯ,74,Челябинская область,Челябинский м.р-н.,Ленинский ,Челябинск г, ,Копейское ш,,д. 64, , , ,;0002695964002983;РР-03Ф;;ККТ снята с регистрации;0492020014001852;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300837544;720301001;0;2;2;2;2;2;2;2;2;2;4540101 г Челябинск, Копейское шоссе, д 64 аптека;2
